,KAMCHAY,LRCHRUM,ATAY,TATAY,KIRIROM1,KIRIROM3
200,130.326172375,390.44140799999997,287.478124625,168.5812495,8.780078125,7.57421875
201,127.19843725000001,390.909769,287.44882924999996,167.47343650000002,8.593359375,7.386328125
202,131.6109375,434.0765640000001,317.48398525,177.87734400000002,8.744921875,7.509375
203,135.65156274999998,443.40742174999997,324.03320237500003,181.1984365,8.946484375,7.75859375
204,130.99453162499998,432.98085775,317.01406462499995,179.76679699999997,9.0421875,8.065625
205,127.70195275,429.0039099999998,314.87812462500005,180.9429685,9.012890625,8.151171875
206,126.09218787500001,435.4441385,318.728126375,181.544140125,9.069140625,8.2453125
207,127.407031125,423.06992199999996,309.8960945,178.82539087499998,9.2625,8.25078125
208,129.905468625,411.634765125,301.83242062500005,175.94062612499997,9.121484375,8.33671875
209,128.67812425000002,404.4531245,297.73945237500004,173.3464845,8.988671875,8.2140625
210,127.86328162499998,403.94179737499996,298.3828135,172.20390737499997,8.887890625,8.208203125
211,129.220312375,414.902734375,305.43476675,175.96718812499998,8.886328125,8.367578125
212,132.16484425,422.3929685000001,309.184764625,180.251953125,9.02265625,8.565234375
213,135.72382899999997,417.66953399999994,307.44023250000004,178.311328875,9.313671875,8.515625
214,134.540625125,415.444533,306.24336025,179.196485,9.235546875,8.384765625
215,133.226171875,423.23124874999996,312.48085975,179.420703625,9.22890625,8.387109375
216,134.913281,444.10429800000003,326.08163975,186.717578625,9.475,8.616796875
217,137.958593625,454.91952850000007,333.6832025,192.23437562499998,9.5859375,8.763671875
218,135.856640375,456.21367325,334.97812562499996,191.15664099999998,9.49140625,8.740234375
219,134.41445349999998,452.24492174999995,333.48007762500004,187.8195305,9.41015625,8.65859375
220,134.464453,460.91484225000005,338.42187375000003,190.992968125,9.512890625,8.717578125
221,134.106250375,452.5902347499999,333.746093625,187.1011725,9.535546875,8.762890625
222,131.846874875,445.70820050000003,329.8917975,186.1667965,9.38046875,8.76640625
223,130.644140625,451.24140625,334.92812475,187.641014875,9.473828125,8.971484375
224,127.92773425,440.0457045,326.9515625,187.14062525,9.369140625,8.98125
225,127.76757725000002,431.180858,318.871485,186.16406312499998,9.2984375,8.93125
