Year,Month,Day,Hour,SOLAR_KampongChhnang,SOLAR_KampongSpeu
2016,1,15,13,52.02755606942817,59.46006407934649
2016,1,15,14,45.2015940977043,51.65896468309062
2016,1,15,15,33.547486693465856,38.33998479253241
2016,1,15,16,16.321812768238047,18.65350030655777
2016,1,15,17,1.1265728590344513,1.2875118388965157
2016,1,15,18,0.0,0.0
2016,1,15,19,0.0,0.0
2016,1,15,20,0.0,0.0
2016,1,15,21,0.0,0.0
2016,1,15,22,0.0,0.0
2016,1,15,23,0.0,0.0
2016,1,16,0,0.0,0.0
2016,1,16,1,0.0,0.0
2016,1,16,2,0.0,0.0
2016,1,16,3,0.0,0.0
2016,1,16,4,0.0,0.0
2016,1,16,5,0.0,0.0
2016,1,16,6,1.8102559535871008,2.063489659924412
2016,1,16,7,29.416574581809037,33.53628478808143
2016,1,16,8,70.5264453094092,80.37659529647775
2016,1,16,9,106.29132584185916,121.10544010051935
2016,1,16,10,132.54584825798307,150.5139151276637
2016,1,16,11,60.31553581065223,68.93204092645968
2016,1,16,12,59.658577166641145,68.18123104758988
2016,1,16,13,55.49346355080737,63.421101200922706
2016,1,16,14,46.927525052447166,53.63145720279676
2016,1,16,15,33.50880284964921,38.295774685313376
2016,1,16,16,15.716044595493438,17.961193823421077
2016,1,16,17,1.1585456921112747,1.3240522195557427
2016,1,16,18,0.0,0.0
2016,1,16,19,0.0,0.0
2016,1,16,20,0.0,0.0
2016,1,16,21,0.0,0.0
2016,1,16,22,0.0,0.0
2016,1,16,23,0.0,0.0
2016,1,17,0,0.0,0.0
2016,1,17,1,0.0,0.0
2016,1,17,2,0.0,0.0
2016,1,17,3,0.0,0.0
2016,1,17,4,0.0,0.0
2016,1,17,5,0.0,0.0
2016,1,17,6,3.0191314414900297,3.44001056062564
2016,1,17,7,37.89349665348737,43.18132646150066
2016,1,17,8,82.71057348049784,94.2309112236825
2016,1,17,9,116.98714664757601,133.26153149537447
2016,1,17,10,136.84674336996378,155.37012526608208
2016,1,17,11,60.373115306870744,68.99784606499513
2016,1,17,12,60.7470288532266,69.42517583225897
2016,1,17,13,56.55805498214374,64.63777712244999
2016,1,17,14,46.51684528783446,53.16210890038224
2016,1,17,15,31.676672872318527,36.201911854078325
2016,1,17,16,14.594149191555411,16.6790276474919
2016,1,17,17,0.969403069328977,1.1078892220902596
2016,1,17,18,0.0,0.0
2016,1,17,19,0.0,0.0
2016,1,17,20,0.0,0.0
